-1.11754324687556,0
-1.12065033996105,0.125
-1.1197195481509,0.25
-1.06854849867523,0.375
-1.07211063429713,0.5
-1.08206513151526,0.625
-1.08288153074682,0.75
-1.08132562786341,0.875
-1.08472730964422,1
-1.09180891700089,1.125
-1.08508375659585,1.25
-1.07623741030693,1.375
-1.10440485551953,1.5
-1.13397388905287,1.625
-1.11887911520898,1.75
-1.07608416490257,1.875
-1.06356114149094,2
-1.0852857530117,2.125
-1.09287663921714,2.25
-1.10560258897021,2.375
-1.11361289350316,2.5
-1.09397595468909,2.625
-1.092694346793,2.75
-1.11338664719369,2.875
-1.11070995719638,3
-1.10327223222703,3.125
-1.10763880237937,3.25
-1.11831622384489,3.375
-1.14592212811112,3.5
-1.1643491089344,3.625
-1.11974574066699,3.75
-1.08760241046548,3.875
-1.1097140207421,4
-1.13279616716318,4.125
-1.15182262659073,4.25
-1.15758281573653,4.375
-1.15655631944537,4.5
-1.1605177000165,4.625
-1.17866963148117,4.75
-1.19194925390184,4.875
-1.20194169692695,5
-1.21749155502766,5.125
-1.21957126166672,5.25
-1.21297059394419,5.375
-1.22861376591027,5.5
-1.24560266057961,5.625
-1.24018877767958,5.75
-1.23819032497704,5.875
-1.23868621513248,6
-1.2425240095472,6.125
-1.24329397582915,6.25
-1.2408474360127,6.375
-1.25629981118254,6.5
-1.28214623034,6.625
-1.29205079004169,6.75
-1.25804041791707,6.875
-1.24103032145649,7
-1.26522491872311,7.125
-1.28463852405548,7.25
-1.31364165432751,7.375
-1.34851542441174,7.5
-1.36064495937899,7.625
-1.3595116971992,7.75
-1.36579563328996,7.875
-1.36499824374914,8
-1.37074050307274,8.125
-1.38511303812265,8.25
-1.38375764340162,8.375
-1.37867219746113,8.5
-1.38406788557768,8.625
-1.40684401243925,8.75
-1.42671957984567,8.875
-1.42658727616072,9
-1.42126160487533,9.125
-1.41126130521297,9.25
-1.39977182820439,9.375
-1.40781359747052,9.5
-1.44443240202963,9.625
-1.46041911654174,9.75
-1.45942925848067,9.875
-1.47849430469796,10
-1.47979069082066,10.125
-1.48597232066095,10.25
-1.50206038355827,10.375
-1.50609801709652,10.5
-1.45020481199026,10.625
-1.42455038055778,10.75
-1.50181050226092,10.875
-1.55463995225728,11
-1.56310294754803,11.125
-1.55316174030304,11.25
-1.54699357971549,11.375
-1.51149469055235,11.5
-1.48991267196834,11.625
-1.50835409760475,11.75
-1.53887338005006,11.875
-1.57836527749896,12
-1.5838371347636,12.125
-1.58659688010812,12.25
-1.6037061046809,12.375
-1.60826149210334,12.5
-1.59773021750152,12.625
-1.60086602251977,12.75
-1.61912579741329,12.875
-1.62747487798333,13
-1.58487974107265,13.125
-1.56023464351892,13.25
-1.60507917031646,13.375
-1.62351350160316,13.5
-1.62651891680434,13.625
-1.64335083961487,13.75
-1.6339249885641,13.875
-1.61011932091787,14
-1.60862503247336,14.125
-1.62889525806531,14.25
-1.65125904604793,14.375
-1.6466957218945,14.5
-1.64149223640561,14.625
-1.65507213771343,14.75
-1.65781209245324,14.875
-1.64831955730915,15
-1.64358297735453,15.125
-1.64227036014199,15.25
-1.64646212756634,15.375
-1.66414809972048,15.5
-1.67424342781305,15.625
-1.67699164524674,15.75
-1.67930785939097,15.875
-1.68288907781243,16
-1.68544196337461,16.125
-1.68435085937381,16.25
-1.68214235827327,16.375
-1.67905946820974,16.5
-1.67582704499364,16.625
-1.67362321168184,16.75
-1.66688907891512,16.875
-1.65562462434173,17
-1.63964746147394,17.125
-1.63766010850668,17.25
-1.64049840345979,17.375
-1.63092020899057,17.5
-1.61956468271092,17.625
-1.63941745879129,17.75
-1.66058733686805,17.875
-1.65485073626041,18
-1.66110394895077,18.125
-1.65202723070979,18.25
-1.62748518772423,18.375
-1.63110218383372,18.5
-1.64845560491085,18.625
-1.64379715919495,18.75
-1.62723786546849,18.875
-1.62003372702748,19
-1.6018485345412,19.125
-1.58597520180047,19.25
-1.59569169674069,19.375
-1.60230354219675,19.5
-1.59178711008281,19.625
-1.55465534515679,19.75
-1.51823262870312,19.875
-1.51149632409215,20
-1.51136595383286,20.125
-1.51217753440142,20.25
-1.51434095948935,20.375
-1.50755188986659,20.5
-1.47587137855589,20.625
-1.45804426074028,20.75
-1.44973679073155,20.875
-1.4124898314476,21
-1.38958595320582,21.125
-1.38994077593088,21.25
-1.3936540260911,21.375
-1.3792527820915,21.5
-1.3604138828814,21.625
-1.36424370040186,21.75
-1.34276101668365,21.875
-1.29932465590537,22
-1.27623702213168,22.125
-1.26637494564056,22.25
-1.26760831475258,22.375
-1.26500580087304,22.5
-1.22077010199428,22.625
-1.16008792445064,22.75
-1.13673647120595,22.875
-1.13665498048067,23
-1.13967384770513,23.125
-1.13563294708729,23.25
-1.08113638311625,23.375
-1.04963215626776,23.5
-1.03587894327939,23.625
-1.00835583731532,23.75
-1.01311243325472,23.875
-1.00342790409923,24
-0.962608456611633,24.125
-0.910168629139662,24.25
-0.883828204125166,24.375
-0.849379945546389,24.5
-0.803811181336641,24.625
-0.773604035377502,24.75
-0.758992798626423,24.875
-0.758500162512064,25
-0.722587825730443,25.125
-0.661492882296443,25.25
-0.633591774851084,25.375
-0.598251655697823,25.5
-0.554817784577608,25.625
-0.529092151671648,25.75
-0.508621361106634,25.875
-0.444501865655184,26
-0.385688092559576,26.125
-0.386849790811539,26.25
-0.370237524621189,26.375
-0.302808607928455,26.5
-0.253566846251488,26.625
-0.233183044940233,26.75
-0.171007268130779,26.875
-0.13055432587862,27
-0.112804564647377,27.125
-0.0796963078901172,27.25
-0.0359397940337658,27.375
-0.00499966740608215,27.5
0.0435134023427963,27.625
0.102903328835964,27.75
0.119091838598251,27.875
0.139469357207418,28
0.196909772232175,28.125
0.240966025739908,28.25
0.269772855564952,28.375
0.332049993798137,28.5
0.371135968714952,28.625
0.373955253373424,28.75
0.42369236410741,28.875
0.484693918377161,29
0.498601488769054,29.125
0.500238101813011,29.25
0.548536486807279,29.375
0.610798384994268,29.5
0.625,29.625
0.624196637421846,29.75
0.62690242449753,29.875
0.664312087697908,30
0.716870669275522,30.125
0.742048550397158,30.25
0.74928418174386,30.375
0.749184355139732,30.5
0.749390206081444,30.625
0.802156469566398,30.75
0.860167939215899,30.875
0.865725181996822,31
0.864258345216513,31.125
0.857991579920054,31.25
0.862127788364887,31.375
0.840771421790123,31.5
0.826679583638907,31.625
0.854785889387131,31.75
0.906268797814846,31.875
0.962781310081482,32
0.980769228190184,32.125
0.986663952469826,32.25
0.99539827182889,32.375
1,32.5
1.01748337596655,32.625
1.07592875510454,32.75
1.11967991665006,32.875
1.11396132782102,33
1.09002734720707,33.125
1.05269782152027,33.25
1.05348521377891,33.375
1.09893619641662,33.5
1.09894135594368,33.625
1.07100670784712,33.75
1.04271706845611,33.875
1.07230346929282,34
1.11824757605791,34.125
1.07401716709137,34.25
1.04772994108498,34.375
1.08891096152365,34.5
1.10325493663549,34.625
1.04310535266995,34.75
0.994413398206234,34.875
0.993235472589731,35
0.996681209653616,35.125
0.998558107763529,35.25
0.998644955456257,35.375
0.998644955456257,35.5
0.999143697321415,35.625
0.996015843003988,35.75
0.986386325210333,35.875
0.981910668313503,36
0.979794953018427,36.125
0.926781832007691,36.25
0.876883367775008,36.375
0.875,36.5
0.874213293194771,36.625
0.874213293194771,36.75
0.875,36.875
0.875,37
0.874300245195627,37.125
0.873527485877276,37.25
0.874227240681648,37.375
0.872953373938799,37.5
0.871634967625141,37.625
0.872733306139708,37.75
0.874051712453365,37.875
0.84038589335978,38
0.777923271121836,38.125
0.750037377762055,38.25
0.749097030609846,38.375
0.746686846017838,38.5
0.747589815407991,38.625
0.75,38.75
0.749277092516422,38.875
0.749277092516422,39
0.75,39.125
0.708089012652636,39.25
0.653254454489797,39.375
0.641925395000726,39.5
0.651972909457982,39.625
0.689668862149119,39.75
0.723615139722824,39.875
0.737952880561352,40
0.686304698043387,40.125
0.625011051350157,40.25
0.625,40.375
0.623991142958403,40.5
0.622965671122074,40.625
